Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Paroxysmal extreme pain disorder,SCN11A,sodium voltage-gated channel alpha subunit 11,"Infancy, Neonatal",Autosomal dominant
Paroxysmal extreme pain disorder,SCN9A,sodium voltage-gated channel alpha subunit 9,"Infancy, Neonatal",Autosomal dominant
Lathosterolosis,SC5D,sterol-C5-desaturase,Neonatal,Autosomal recessive
Hereditary papillary renal cell carcinoma,MET,"MET proto-oncogene, receptor tyrosine kinase",Adult,Autosomal dominant
Char syndrome,TFAP2B,transcription factor AP-2 beta,"Antenatal, Infancy, Neonatal",Autosomal dominant
Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,HBB,hemoglobin subunit beta,Childhood,Autosomal dominant
Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,HBG1,hemoglobin subunit gamma 1,Childhood,Autosomal dominant
Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,HBG2,hemoglobin subunit gamma 2,Childhood,Autosomal dominant
Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,KLF1,KLF transcription factor 1,Childhood,Autosomal dominant
RNF13-related severe early-onset epileptic encephalopathy,RNF13,ring finger protein 13,Neonatal,Autosomal dominant
Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome,ODC1,ornithine decarboxylase 1,"Antenatal, Neonatal",Autosomal dominant
PRUNE1-related neurological syndrome,PRUNE1,prune exopolyphosphatase 1,"Infancy, Neonatal",Autosomal recessive
Atypical hemolytic uremic syndrome with complement gene abnormality,THBD,thrombomodulin,All ages,
Atypical hemolytic uremic syndrome with complement gene abnormality,C3,complement C3,All ages,
Atypical hemolytic uremic syndrome with complement gene abnormality,CD46,CD46 molecule,All ages,
Atypical hemolytic uremic syndrome with complement gene abnormality,CFB,complement factor B,All ages,
Atypical hemolytic uremic syndrome with complement gene abnormality,CFH,complement factor H,All ages,
Atypical hemolytic uremic syndrome with complement gene abnormality,CFI,complement factor I,All ages,
Familial cold urticaria,NLRP3,NLR family pyrin domain containing 3,"Adolescent, Childhood, Infancy",Autosomal dominant
Atypical Fanconi syndrome-neonatal hyperinsulinism syndrome,HNF4A,hepatocyte nuclear factor 4 alpha,Neonatal,Autosomal dominant
Congenital myopathy with reduced type 2 muscle fibers,MYL1,myosin light chain 1,"Antenatal, Neonatal",Autosomal recessive
NAD(P)HX dehydratase deficiency,NAXD,NAD(P)HX dehydratase,"Childhood, Infancy",Autosomal recessive
NAD(P)HX epimerase deficiency,NAXE,NAD(P)HX epimerase,Infancy,Autosomal recessive
FLNA-related X-linked myxomatous valvular dysplasia,FLNA,filamin A,Neonatal,X-linked recessive
Early-onset familial hypoaldosteronism,CYP11B2,cytochrome P450 family 11 subfamily B member 2,"Adolescent, Childhood, Infancy, Neonatal",Autosomal recessive
Early-onset calcifying leukoencephalopathy-skeletal dysplasia,CSF1R,colony stimulating factor 1 receptor,"Adolescent, Antenatal, Childhood",Autosomal recessive
Pancreatic agenesis-holoprosencephaly syndrome,CNOT1,CCR4-NOT transcription complex subunit 1,Antenatal,Autosomal dominant
Neonatal epileptic encephalopathy due to glutaminase deficiency,GLS,glutaminase,Neonatal,Autosomal recessive
Spastic ataxia-dysarthria due to glutaminase deficiency,GLS,glutaminase,Childhood,Autosomal dominant
Oculoskeletodental syndrome,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,"Adolescent, Adult, Childhood",Autosomal recessive
Autosomal recessive anterior segment dysgenesis,CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8,"Adolescent, Adult, Childhood",Autosomal recessive
Retinopathy of prematurity,LRP5,LDL receptor related protein 5,"Infancy, Neonatal",Not applicable
Retinopathy of prematurity,FZD4,frizzled class receptor 4,"Infancy, Neonatal",Not applicable
Retinopathy of prematurity,NDP,norrin cystine knot growth factor NDP,"Infancy, Neonatal",Not applicable
Hereditary folate malabsorption,SLC46A1,solute carrier family 46 member 1,"Infancy, Neonatal",Autosomal recessive
Hemoglobin D disease,HBB,hemoglobin subunit beta,Childhood,Autosomal recessive
Familial pseudohyperkalemia,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),All ages,Autosomal dominant
Primary familial polycythemia,EPOR,erythropoietin receptor,All ages,Autosomal dominant
"Deafness with labyrinthine aplasia, microtia, and microdontia",FGF3,fibroblast growth factor 3,"Infancy, Neonatal",Autosomal recessive
Primary immunodeficiency syndrome due to P14/LAMTOR2 deficiency,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","Infancy, Neonatal",Autosomal recessive
,PARK7,Parkinsonism associated deglycase,,
,TRPM7,transient receptor potential cation channel subfamily M member 7,,
Non-spherocytic hemolytic anemia due to hexokinase deficiency,HK1,hexokinase 1,Infancy,Autosomal recessive
Primary erythromelalgia,SCN9A,sodium voltage-gated channel alpha subunit 9,All ages,Autosomal dominant
Primary erythromelalgia,SCN10A,sodium voltage-gated channel alpha subunit 10,All ages,Autosomal dominant
Primary erythromelalgia,SCN11A,sodium voltage-gated channel alpha subunit 11,All ages,Autosomal dominant
Hemolytic anemia due to glutathione reductase deficiency,GSR,glutathione-disulfide reductase,No data available,Autosomal recessive
X-linked hypophosphatemia,PHEX,phosphate regulating endopeptidase X-linked,"Childhood, Infancy",X-linked dominant
"Lissencephaly syndrome, Norman-Roberts type",NDE1,nudE neurodevelopment protein 1,"Infancy, Neonatal",Autosomal recessive
"Lissencephaly syndrome, Norman-Roberts type",KATNB1,katanin regulatory subunit B1,"Infancy, Neonatal",Autosomal recessive
"Lissencephaly syndrome, Norman-Roberts type",RELN,reelin,"Infancy, Neonatal",Autosomal recessive
Dystrophic epidermolysis bullosa pruriginosa,COL7A1,collagen type VII alpha 1 chain,Childhood,"Autosomal dominant, Autosomal recessive"
"Autosomal recessive generalized dystrophic epidermolysis bullosa, intermediate form",COL7A1,collagen type VII alpha 1 chain,Neonatal,Autosomal recessive
X-linked cone dysfunction syndrome with myopia,OPN1MW,"opsin 1, medium wave sensitive",Childhood,X-linked recessive
X-linked cone dysfunction syndrome with myopia,OPN1LW,"opsin 1, long wave sensitive",Childhood,X-linked recessive
Bartter syndrome type 4,BSND,barttin CLCNK type accessory subunit beta,Antenatal,Autosomal recessive
Bartter syndrome type 4,CLCNKB,chloride voltage-gated channel Kb,Antenatal,Autosomal recessive
Bartter syndrome type 4,CLCNKA,chloride voltage-gated channel Ka,Antenatal,Autosomal recessive
Autosomal dominant hypophosphatemic rickets,FGF23,fibroblast growth factor 23,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
Blau syndrome,NOD2,nucleotide binding oligomerization domain containing 2,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Xeroderma pigmentosum variant,POLH,DNA polymerase eta,"Adolescent, Adult",Autosomal recessive
Autosomal dominant cutis laxa,ALDH18A1,aldehyde dehydrogenase 18 family member A1,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant cutis laxa,FBLN5,fibulin 5,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant cutis laxa,ELN,elastin,"Infancy, Neonatal",Autosomal dominant
Autosomal recessive cutis laxa type 1,EFEMP2,EGF-like fibulin extracellular matrix protein 2,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive cutis laxa type 1,FBLN5,fibulin 5,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive cutis laxa type 1,LTBP1,latent transforming growth factor beta binding protein 1,"Infancy, Neonatal",Autosomal recessive
Brittle cornea syndrome,ZNF469,zinc finger protein 469,"Infancy, Neonatal",Autosomal recessive
Brittle cornea syndrome,PRDM5,PR/SET domain 5,"Infancy, Neonatal",Autosomal recessive
Capillary-lymphatic-venous malformation with segmental distribution,AGGF1,angiogenic factor with G-patch and FHA domains 1,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
Capillary-lymphatic-venous malformation with segmental distribution,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","Infancy, Neonatal","Multigenic/multifactorial, Not applicable"
Parkes Weber syndrome,RASA1,RAS p21 protein activator 1,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Cockayne syndrome type 2,ERCC6,"ERCC excision repair 6, chromatin remodeling factor","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 2,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 2,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 1,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 1,ERCC6,"ERCC excision repair 6, chromatin remodeling factor","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 1,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 3,ERCC6,"ERCC excision repair 6, chromatin remodeling factor","Antenatal, Infancy, Neonatal",Autosomal recessive
Cockayne syndrome type 3,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit","Antenatal, Infancy, Neonatal",Autosomal recessive
Mandibuloacral dysplasia with type A lipodystrophy,LMNA,lamin A/C,"Infancy, Neonatal",Autosomal recessive
Mandibuloacral dysplasia with type B lipodystrophy,ZMPSTE24,zinc metallopeptidase STE24,"Infancy, Neonatal",Autosomal recessive
Meige disease,EPHB4,EPH receptor B4,"Adolescent, Childhood",Not applicable
Severe early-onset axonal neuropathy due to MFN2 deficiency,MFN2,mitofusin 2,Childhood,Autosomal recessive
"Hereditary motor and sensory neuropathy, Okinawa type",TFG,trafficking from ER to golgi regulator,Adult,Autosomal dominant
Hereditary motor and sensory neuropathy type 6,SLC25A46,solute carrier family 25 member 46,All ages,"Autosomal dominant, Autosomal recessive"
Hereditary motor and sensory neuropathy type 6,MFN2,mitofusin 2,All ages,"Autosomal dominant, Autosomal recessive"
"Autosomal recessive ataxia, Beauce type",SYNE1,spectrin repeat containing nuclear envelope protein 1,"Adult, Childhood, Neonatal",Autosomal recessive
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR3B,RNA polymerase III subunit B,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR1C,RNA polymerase I and III subunit C,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR3A,RNA polymerase III subunit A,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,Infancy,Autosomal recessive
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN9A,sodium voltage-gated channel alpha subunit 9,Neonatal,"Autosomal dominant, Autosomal recessive"
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN10A,sodium voltage-gated channel alpha subunit 10,Neonatal,"Autosomal dominant, Autosomal recessive"
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN11A,sodium voltage-gated channel alpha subunit 11,Neonatal,"Autosomal dominant, Autosomal recessive"
Vacuolar myopathy with sarcoplasmic reticulum protein aggregates,CASQ1,calsequestrin 1,Adult,"Autosomal dominant, Unknown"
Ichthyosis-prematurity syndrome,SLC27A4,solute carrier family 27 member 4,"Infancy, Neonatal",Autosomal recessive
Posterior column ataxia-retinitis pigmentosa syndrome,FLVCR1,FLVCR choline and heme transporter 1,Childhood,Autosomal recessive
Tritanopia,OPN1SW,"opsin 1, short wave sensitive","Infancy, Neonatal",Autosomal dominant
Terminal osseous dysplasia-pigmentary defects syndrome,FLNA,filamin A,"Infancy, Neonatal",X-linked dominant
Isolated congenital anosmia,TENM1,teneurin transmembrane protein 1,"Infancy, Neonatal","Autosomal dominant, X-linked recessive"
Isolated congenital anosmia,CNGA2,cyclic nucleotide gated channel subunit alpha 2,"Infancy, Neonatal","Autosomal dominant, X-linked recessive"
Familial acute necrotizing encephalopathy,RANBP2,RAN binding protein 2,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
S-adenosylhomocysteine hydrolase deficiency,AHCY,adenosylhomocysteinase,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,DCPS,"decapping enzyme, scavenger","Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2","Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,IMPA1,inositol monophosphatase 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,ABCA2,ATP binding cassette subfamily A member 2,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,CHKA,choline kinase alpha,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,CEP104,centrosomal protein 104,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,CRBN,cereblon,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,TUSC3,tumor suppressor candidate 3,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,TECR,"trans-2,3-enoyl-CoA reductase","Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,GRIK2,glutamate ionotropic receptor kainate type subunit 2,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,WASHC4,WASH complex subunit 4,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,TRAPPC9,trafficking protein particle complex subunit 9,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,PRSS12,serine protease 12,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,MED23,mediator complex subunit 23,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,CRADD,CARD and death domain containing adaptor protein,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,ZC3H14,zinc finger CCCH-type containing 14,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,NSUN2,NOP2/Sun RNA methyltransferase 2,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,LINS1,lines homolog 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,PGAP1,post-GPI attachment to proteins inositol deacylase 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,METTL23,"methyltransferase 23, arginine","Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,CLIP1,CAP-Gly domain containing linker protein 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,FBXO31,F-box protein 31,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,NDST1,N-deacetylase and N-sulfotransferase 1,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,FMN2,formin 2,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,EDC3,enhancer of mRNA decapping 3,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,HNMT,histamine N-methyltransferase,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,EZR,ezrin,"Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,LMAN2L,"lectin, mannose binding 2 like","Childhood, Infancy",Autosomal recessive
Autosomal recessive non-syndromic intellectual disability,NEMF,nuclear export mediator factor,"Childhood, Infancy",Autosomal recessive
